model,dataset,resolution,prediction_horizon,scaled_rmse,scaled_mae
ARF,youtube_pedestrian,100ms,96,0.04730407039116104,0.025718469567892078
ARF,youtube_pedestrian,200ms,48,0.04710101378096611,0.02674086271261311
ARF,youtube_pedestrian,500ms,20,0.039778408129224126,0.021764466975637702
ARF,youtube_pedestrian,1000ms,10,0.029654964309196293,0.017616658790466134
ARF,youtube_pedestrian,2000ms,5,0.02888650943917014,0.01685650248424978
ARF,youtube_pedestrian,3000ms,4,0.02890261934664288,0.018517281860599713
