DATE,mac_dl_cqi,mac_dl_mcs,mac_dl_ok,mac_dl_nok,mac_dl_brate,ue_ident
2022-01-01 00:00:00.104,5,1,80,4,1627733,2105
2022-01-01 00:00:00.105,6,3,77,6,2583200,2105
2022-01-01 00:00:00.106,6,4,39,1,1721866,2105
2022-01-01 00:00:00.107,5,2,85,2,2296977,2105
2022-01-01 00:00:00.108,4,2,77,6,2387644,2105
2022-01-01 00:00:00.109,6,3,82,5,3154311,2105
2022-01-01 00:00:00.110,5,1,78,6,2176888,2105
2022-01-01 00:00:00.111,5,1,83,2,1708355,2105
2022-01-01 00:00:00.112,6,4,83,4,3226933,2105
2022-01-01 00:00:00.113,5,2,83,5,2508000,2105
2022-01-01 00:00:00.114,5,1,83,4,2098400,2105
2022-01-01 00:00:00.115,6,5,84,1,4615822,2105
2022-01-01 00:00:00.116,7,6,57,2,3134844,2105
2022-01-01 00:00:00.117,6,6,54,6,3293511,2105
2022-01-01 00:00:00.118,6,4,88,1,3875377,2105
2022-01-01 00:00:00.119,6,4,82,2,3722844,2105
2022-01-01 00:00:00.120,6,4,89,0,4141955,2105
2022-01-01 00:00:00.121,6,5,78,1,4172088,2105
2022-01-01 00:00:00.122,6,4,90,0,4241244,2105
2022-01-01 00:00:00.123,6,6,75,3,4763288,2105
2022-01-01 00:00:00.124,6,5,90,0,4568000,2105
2022-01-01 00:00:00.125,6,6,87,2,5312444,2105
2022-01-01 00:00:00.126,6,5,84,2,4042488,2105
2022-01-01 00:00:00.127,7,6,84,1,4795822,2105
2022-01-01 00:00:00.128,6,5,89,1,4859288,2105
2022-01-01 00:00:00.129,6,5,88,2,4658311,2105
2022-01-01 00:00:00.130,6,4,88,2,4416355,2105
2022-01-01 00:00:00.131,6,4,90,0,4241244,2105
2022-01-01 00:00:00.132,7,6,86,4,5188088,2105
2022-01-01 00:00:00.133,6,6,88,2,5418488,2105
2022-01-01 00:00:00.134,5,4,84,2,3656177,2105
2022-01-01 00:00:00.135,6,7,84,4,6205333,2105
2022-01-01 00:00:00.136,6,8,75,5,5540000,2105
2022-01-01 00:00:00.137,6,6,86,2,5588088,2105
2022-01-01 00:00:00.138,7,9,65,7,5275466,2105
2022-01-01 00:00:00.139,5,5,84,5,4947377,2105
2022-01-01 00:00:00.140,6,7,84,4,5269866,2105
2022-01-01 00:00:00.141,6,7,85,5,5872622,2105
2022-01-01 00:00:00.142,5,6,85,4,5112622,2105
2022-01-01 00:00:00.143,6,6,87,1,5248800,2105
2022-01-01 00:00:00.144,7,9,73,8,6383200,2105
2022-01-01 00:00:00.145,6,5,85,5,5004177,2105
2022-01-01 00:00:00.146,5,6,87,3,5185688,2105
2022-01-01 00:00:00.147,6,6,86,2,5000888,2105
2022-01-01 00:00:00.148,6,5,79,8,4236000,2105
2022-01-01 00:00:00.149,6,7,90,0,5500977,2105
2022-01-01 00:00:00.150,6,6,87,3,5841333,2105
2022-01-01 00:00:00.151,6,7,88,2,6070755,2105
2022-01-01 00:00:00.152,5,7,80,7,5936888,2105
2022-01-01 00:00:00.153,6,6,84,4,5177244,2105
2022-01-01 00:00:00.154,6,10,78,12,6904000,2105
2022-01-01 00:00:00.155,5,4,87,3,4567733,2105
2022-01-01 00:00:00.156,6,6,88,0,5073066,2105
2022-01-01 00:00:00.157,6,6,88,2,5918755,2105
2022-01-01 00:00:00.158,7,8,87,3,6797777,2105
2022-01-01 00:00:00.159,7,11,72,10,7039822,2105
2022-01-01 00:00:00.160,6,6,86,4,5778844,2105
2022-01-01 00:00:00.161,6,6,88,2,5908444,2105
2022-01-01 00:00:00.162,6,6,85,3,4950488,2105
2022-01-01 00:00:00.163,6,8,82,7,6526400,2105
2022-01-01 00:00:00.164,6,6,85,5,5703555,2105
2022-01-01 00:00:00.165,6,6,86,4,5784355,2105
2022-01-01 00:00:00.166,6,6,83,7,5591022,2105
2022-01-01 00:00:00.167,6,6,86,4,5756977,2105
2022-01-01 00:00:00.168,5,6,85,3,5441688,2105
2022-01-01 00:00:00.169,6,6,84,4,5222933,2105
2022-01-01 00:00:00.170,6,6,88,2,5707022,2105
2022-01-01 00:00:00.171,6,7,87,3,5498400,2105
2022-01-01 00:00:00.172,6,9,79,9,6957777,2105
2022-01-01 00:00:00.173,6,6,88,2,5918755,2105
2022-01-01 00:00:00.174,6,10,82,8,7253866,2105
2022-01-01 00:00:00.175,5,6,85,2,5010400,2105
2022-01-01 00:00:00.176,6,8,84,6,6657777,2105
2022-01-01 00:00:00.177,6,6,88,2,5908622,2105
2022-01-01 00:00:00.178,6,8,83,6,6438133,2105
2022-01-01 00:00:00.179,6,8,82,7,6582400,2105
2022-01-01 00:00:00.180,6,7,86,4,6106666,2105
2022-01-01 00:00:00.181,6,8,72,8,5415466,2105
2022-01-01 00:00:00.182,6,7,70,4,3948266,2105
2022-01-01 00:00:00.183,7,7,75,3,4364711,2105
2022-01-01 00:00:00.184,7,7,66,5,4344888,2105
2022-01-01 00:00:00.185,7,6,70,4,4003022,2105
2022-01-01 00:00:00.186,6,7,74,6,4980747,2105
2022-01-01 00:00:00.187,6,5,76,5,3680988,2105
2022-01-01 00:00:00.188,6,5,66,1,2695644,2105
2022-01-01 00:00:00.189,7,6,80,3,4822577,2105
2022-01-01 00:00:00.190,6,6,63,5,3495911,2105
2022-01-01 00:00:00.191,6,4,72,1,3129887,2105
2022-01-01 00:00:00.192,6,6,80,4,4426901,2105
2022-01-01 00:00:00.193,6,5,65,3,2885422,2105
2022-01-01 00:00:00.194,6,6,42,2,2376615,2105
2022-01-01 00:00:00.195,7,6,22,3,1178426,2105
2022-01-01 00:00:00.196,7,7,35,0,1801511,2105
2022-01-01 00:00:00.197,7,9,21,2,1530755,2105
2022-01-01 00:00:00.198,7,8,40,5,3036177,2105
2022-01-01 00:00:00.199,6,5,65,3,3286222,2105
2022-01-01 00:00:00.200,6,5,74,1,3137600,2105
2022-01-01 00:00:00.201,6,5,59,3,3086666,2105
2022-01-01 00:00:00.202,6,7,75,4,3768266,2105
2022-01-01 00:00:00.203,7,7,74,4,4969066,2105
2022-01-01 00:00:00.204,6,5,64,3,2893955,2105
2022-01-01 00:00:00.205,7,7,60,5,3616533,2105
2022-01-01 00:00:00.206,6,7,63,5,4065511,2105
2022-01-01 00:00:00.207,7,5,70,2,3554373,2105
2022-01-01 00:00:00.208,6,6,66,4,3372674,2105
2022-01-01 00:00:00.209,7,6,81,3,4893777,2105
2022-01-01 00:00:00.210,7,8,74,3,4706577,2105
2022-01-01 00:00:00.211,6,6,68,2,3437890,2105
2022-01-01 00:00:00.212,6,7,74,5,4770696,2105
2022-01-01 00:00:00.213,6,7,71,3,4614844,2105
2022-01-01 00:00:00.214,6,8,53,5,3288977,2105
2022-01-01 00:00:00.215,6,6,74,2,3984703,2105
2022-01-01 00:00:00.216,7,7,41,4,2382831,2105
2022-01-01 00:00:00.217,6,5,62,4,3314844,2105
2022-01-01 00:00:00.218,6,5,69,6,3069066,2105
2022-01-01 00:00:00.219,6,6,68,4,3662065,2105
2022-01-01 00:00:00.220,7,6,64,2,3215200,2105
2022-01-01 00:00:00.221,6,5,65,3,3630292,2105
2022-01-01 00:00:00.222,6,5,67,4,2984711,2105
2022-01-01 00:00:00.223,6,4,73,1,3205890,2105
2022-01-01 00:00:00.224,6,6,64,4,3507022,2105
2022-01-01 00:00:00.225,7,6,71,5,4026696,2105
2022-01-01 00:00:00.226,7,5,69,1,3277600,2105
2022-01-01 00:00:00.227,6,6,67,5,3725186,2105
2022-01-01 00:00:00.228,7,6,70,4,3622651,2105
2022-01-01 00:00:00.229,6,5,62,10,3162133,2105
2022-01-01 00:00:00.230,6,5,73,1,3359733,2105
2022-01-01 00:00:00.231,7,5,66,3,3318681,2105
2022-01-01 00:00:00.232,7,6,71,5,4335111,2105
2022-01-01 00:00:00.233,6,5,81,3,3823191,2105
2022-01-01 00:00:00.234,6,4,65,1,2782577,2105
2022-01-01 00:00:00.235,6,5,72,2,3035604,2105
2022-01-01 00:00:00.236,6,7,67,3,4676533,2105
2022-01-01 00:00:00.237,6,5,67,2,2900943,2105
2022-01-01 00:00:00.238,6,7,44,3,2467555,2105
2022-01-01 00:00:00.239,6,7,66,6,4292977,2105
2022-01-01 00:00:00.240,7,6,69,2,3794901,2105
